submission_ref,name,public_score,private_score
54220164,s001_xgb_te_beta106,0.94992,0.94995
54220213,s002_xgb_te_beta100,0.94970,0.95019
54220253,s003_xgb_te_beta108,0.95001,0.94979
54220286,s004_xgb_te_beta110,0.94990,0.94972
54220347,s005_lgbm_beta102,0.94939,0.94908
54220364,s006_xgb_te_beta1085,0.94998,0.94980
54220393,s007_blend_xgb80_lgbm20,0.94989,0.95003
54220424,s008_xgb_te_beta1075,0.94991,0.94985
54220463,s009_xgb_te_beta109,0.94990,0.94975
54220481,s010_xgb_te_beta1081,0.95001,0.94977
54251011,s011_vote_public_0_4,0.95025,0.95038
54251097,s012_vote_public_0_8,0.95034,0.95041
54251168,s013_vote_public_no7,0.95024,0.95040
54251274,s014_vote_public_no0,0.94987,0.95025
54251317,s015_vote_public_no1,0.95043,0.95042
54251364,s016_vote_public_no2,0.95035,0.95023
54251436,s017_vote_public_no3,0.95040,0.95048
54251480,s018_vote_public_no4,0.94992,0.95023
54251505,s018_vote_public_no4,0.94992,0.95023
54251545,s019_vote_public_no5,0.95017,0.95042
54292076,s020_anhad_hill_meta,0.95095,0.95030
54292311,s021_anhad_autonomous,0.95081,0.95026
54292441,s022_anhad_confidence,0.95094,0.95030
54292524,s023_anhad_single_95086,0.95086,0.95027
54292623,s024_public_95075,0.95075,0.95027
54292674,s025_public_95070,0.95070,0.95024
54292732,s026_anhad_single_95066,0.95066,0.95016
54292789,s027_anhad_single_95053,0.95053,0.95015
54292840,s028_anhad_single_95052,0.95024,0.95017
54292897,s029_vote_public_no1_no8,0.95039,0.95043
54317264,s035_vote_s020_s022_s023,0.95094,0.95030
54317335,s036_vote_top5_public,0.95096,0.95032
54317488,s055_danush_95101,0.95101,0.95045
54317534,s056_vote_danush_s020_s022,0.95095,0.95033
54317670,s063_flexon_external_lb_logit,0.95088,0.95034
54317711,s064_biohack_fusion,0.95058,0.95008
54317778,s070_vote_danushx3_s020_s022_s023_flexonlogit,0.95104,0.95038
54317852,s073_vote_danushx4_top3_flexon_s024,0.95104,0.95038
54317894,s072_vote_danushx4_top3_flexon_s021,0.95101,0.95039
54317936,s071_vote_danushx4_top3_flexon_baseer,0.95102,0.95042
54355224,s077_vote_danushx4_top3_flexon_hygiene,0.95101,0.95040
54355280,s079_vote_danushx4_top3_flexon_biohack,0.95103,0.95039
54355396,s084_vote_s070_s073_s071,0.95104,0.95037
54355551,s085_vote_s073_s070_s071_s072,0.95104,0.95038
54355592,s086_vote_s070_s073_s071_s072_s055,0.95102,0.95037
54355712,s087_vote_danushx4_top3_flexon_hgbccat_score,0.95101,0.95039
54355777,s088_vote_danushx4_top3_flexon_compcat,0.95102,0.95041
54355831,s089_vote_s070_s073_s071_s055,0.95106,0.95042
54355954,s104_vote_s089_s085_s071,0.95104,0.95041
54356005,s103_vote_s089_s084_s071,0.95104,0.95041
54379430,s119_vote_s089_s103_rung9,0.95106,0.95042
54379556,s118_vote_s089_s085_rung9,0.95106,0.95039
54379623,s109_vote_s089_rung9_s071,0.95104,0.95041
54379676,s112_vote_s089_busya_s073,0.95106,0.95041
54379731,s117_vote_s089_s084_rung9,0.95106,0.95039
54379795,s107_vote_s089_rung9_s070,0.95106,0.95039
54379824,s108_vote_s089_rung9_s073,0.95104,0.95039
54379900,s122_vote_s089_s085_busya,0.95104,0.95041
54379956,s100_vote_s089_s070_s073,0.95106,0.95038
54380013,s091_vote_danushx5_top3_flexon_t5,0.95107,0.95044
54410309,s127_amanatar_lb95112,0.95112,0.95039
54410432,s162_vote_s127_s093_stephen,0.95108,0.95045
54410505,s177_vote_s127_s090_stephen,0.95109,0.95041
54410572,s168_vote_s127_s094_stephen,0.95108,0.95044
54410645,s178_vote_s127_s090_tabpfn,0.95114,0.95038
54410767,s181_vote_s127_s098_tabpfn,0.95114,0.95044
54410806,s148_vote_s127_s091_tabpfn,0.95113,0.95043
54410900,s191_vote_s178_s181_subzerin,0.95114,0.95040
54410951,s196_vote_s178_s181_kenchan,0.95113,0.95041
54411005,s192_vote_s127_s178_subzerin,0.95115,0.95039
54457148,s201_vote_s178_s181_s127,0.95114,0.95039
54457163,s210_vote_s192_s181_s127,0.95115,0.95039
54457279,s214_vote_s192_s196_subzerin,0.95115,0.95040
54457390,s208_vote_s192_s181_subzerin,0.95115,0.95041
54457405,s206_vote_s192_s178_kenchan,0.95114,0.95039
54457443,s207_vote_s192_s178_s181,0.95114,0.95039
54457481,s216_vote_s192_s196_s194,0.95115,0.95040
54457506,s220_vote_s192_s148_s194,0.95115,0.95043
54457673,s217_vote_s192_s148_subzerin,0.95115,0.95041
54457774,s194_vote_s127_s181_subzerin,0.95115,0.95043
54482077,s236_vote_s192_s194_ichiro,0.95115,0.95040
54482123,s233_vote_s194_s220_ichiro,0.95115,0.95043
54482166,s225_vote_s192_s194_s205,0.95115,0.95041
54482243,s226_vote_s192_s200_subzerin,0.95115,0.95040
54482298,s230_vote_s194_s217_ichiro,0.95115,0.95040
54482339,s245_vote_s208_s220_roman,0.95115,0.95041
54482393,s244_vote_s216_s220_roman,0.95115,0.95040
54482428,s231_vote_s194_s220_roman,0.95115,0.95043
54482455,s240_vote_s192_s220_roman,0.95115,0.95040
54482490,s237_vote_s192_s217_roman,0.95115,0.95040
54513607,s247_vote_s217_s237_tgmath,0.95115,0.95040
54513732,s248_vote_s226_s237_tgmath,0.95115,0.95040
54513823,s249_vote_s192_s230_tgmath,0.95115,0.95040
54513871,s250_vote_s194_s216_tgmath,0.95115,0.95040
54513906,s251_vote_s148_s237_tgmath,0.95114,0.95041
54513958,s252_vote_s208_s237_tgmath,0.95115,0.95040
54514015,s253_vote_s220_s237_tgmath,0.95115,0.95040
54514073,s254_vote_s192_s226_tgmath,0.95115,0.95040
54514120,s255_vote_s192_s240_tgmath,0.95115,0.95039
54514176,s256_vote_s208_s240_tgmath,0.95115,0.95040
54571126,s257_s256_consensus8,0.95116,0.95040
54571208,s258_s192_consensus8,0.95116,0.95040
54571327,s259_s194_consensus8,0.95117,0.95043
54571408,s260_s233_consensus8,0.95116,0.95043
54571499,s261_s225_consensus8,0.95117,0.95041
54571601,s262_s231_consensus8,0.95116,0.95044
54571683,s263_s208_consensus8,0.95117,0.95041
54571745,s264_s250_consensus8,0.95116,0.95041
54571819,s265_s216_consensus8,0.95116,0.95041
54571911,s266_s245_consensus8,0.95116,0.95041
54594018,s267_top5_jeff_vote,0.95117,0.95041
54594066,s268_top3_s264_jeff_vote,0.95117,0.95041
